t,susceptible,exposed,infected,recovered,dead
115,0.7892462015151978,0.010163573548197746,0.014445160515606403,0.18595805764198303,0.00018705963157117367
116,0.7842994928359985,0.010579261928796768,0.01425810158252716,0.19067612290382385,0.00018705963157117367
117,0.7812026143074036,0.010433770716190338,0.014029473066329956,0.19412633776664734,0.00020784404478035867
118,0.778729259967804,0.010496123693883419,0.01425810158252716,0.1963087022304535,0.00020784404478035867
119,0.778084933757782,0.00920749083161354,0.013509863056242466,0.1989898830652237,0.00020784404478035867
120,0.7765053510665894,0.00802277959883213,0.012886330485343933,0.2023569643497467,0.00022862844343762845
121,0.7752790451049805,0.006817284505814314,0.012907114811241627,0.20476794242858887,0.00022862844343762845
122,0.7734084725379944,0.004925903864204884,0.013405940495431423,0.20803110301494598,0.00022862844343762845
123,0.769625723361969,0.005009041167795658,0.01168083492666483,0.21345582604408264,0.00022862844343762845
124,0.7650115489959717,0.004738843999803066,0.010745536535978317,0.21927545964717865,0.00022862844343762845
125,0.7614366412162781,0.004447862505912781,0.00914513785392046,0.22474175691604614,0.00022862844343762845
126,0.7577577829360962,0.004925903864204884,0.007898073643445969,0.2291688472032547,0.0002494128420948982
127,0.7542452216148376,0.004655706696212292,0.006193752400577068,0.23465591669082642,0.0002494128420948982
128,0.7531021237373352,0.004032174590975046,0.00627689016982913,0.23633946478366852,0.0002494128420948982
129,0.74925696849823,0.004655706696212292,0.005570220295339823,0.24026770889759064,0.0002494128420948982
130,0.7460977435112,0.0041984496638178825,0.006006693001836538,0.24344772100448608,0.0002494128420948982
131,0.7429801225662231,0.004489431157708168,0.0059235552325844765,0.24633675813674927,0.00027019725530408323
132,0.7429801225662231,0.004655706696212292,0.005300023127347231,0.24679401516914368,0.00027019725530408323
133,0.7421279549598694,0.004821981769055128,0.005487082526087761,0.24729284644126892,0.00027019725530408323
134,0.7398624420166016,0.005029825959354639,0.00575728015974164,0.2490387260913849,0.0003117660526186228
135,0.7374098896980286,0.005071394611150026,0.005487082526087761,0.2517199218273163,0.0003117660526186228
136,0.7340012192726135,0.005591004621237516,0.005300023127347231,0.2547752261161804,0.0003325504658278078
137,0.7307796478271484,0.005133747588843107,0.00627689016982913,0.2574564218521118,0.0003533348790369928
138,0.7230478525161743,0.0053208074532449245,0.006131399422883987,0.2651466429233551,0.0003533348790369928
139,0.7225282192230225,0.005112963262945414,0.006360027473419905,0.26564547419548035,0.0003533348790369928
140,0.7215513586997986,0.0055286516435444355,0.006401596590876579,0.2661650776863098,0.0003533348790369928
141,0.7183921337127686,0.006900422275066376,0.006754931528121233,0.2675991952419281,0.0003533348790369928
142,0.7164384126663208,0.006962775252759457,0.006630225107073784,0.2696152925491333,0.0003533348790369928
143,0.7115333080291748,0.0075655230320990086,0.0064431652426719666,0.2741047143936157,0.0003533348790369928
144,0.7092262506484985,0.0073784636333584785,0.006858853157609701,0.276183158159256,0.0003533348790369928
145,0.7025544047355652,0.006422380916774273,0.008064349181950092,0.2825639843940735,0.00039490367635153234
146,0.6984599232673645,0.006817284505814314,0.008459252305328846,0.28586870431900024,0.00039490367635153234
147,0.6984599232673645,0.005965123884379864,0.00868788082152605,0.2864922285079956,0.00039490367635153234
148,0.6962983012199402,0.005570220295339823,0.009124353528022766,0.2886122465133667,0.00039490367635153234
149,0.6942198872566223,0.004738843999803066,0.008958077989518642,0.29168832302093506,0.00039490367635153234
150,0.6761789917945862,0.003574917558580637,0.008376115001738071,0.31145429611206055,0.00041568808956071734
151,0.6731860637664795,0.0035125643480569124,0.007690229453146458,0.3151955008506775,0.00041568808956071734
152,0.6681146621704102,0.002972169779241085,0.00712905079126358,0.3213684558868408,0.00041568808956071734
153,0.6673248410224915,0.002722756937146187,0.0063184588216245174,0.3232182562351227,0.00041568808956071734
154,0.6669715046882629,0.002889032242819667,0.0055286516435444355,0.32419514656066895,0.00041568808956071734
155,0.6647267937660217,0.0030345229897648096,0.0043855090625584126,0.32741671800613403,0.0004364724736660719
156,0.6639370322227478,0.0030760918743908405,0.004136096220463514,0.3284143805503845,0.0004364724736660719
157,0.6615675687789917,0.0031800137367099524,0.0034709954634308815,0.33134496212005615,0.0004364724736660719
