t,susceptible,exposed,infected,recovered,dead
0,0.9999169111251831,0.0,8.313761645695195e-05,0.0,0.0
1,0.9998961091041565,2.0784404114237987e-05,8.313761645695195e-05,0.0,0.0
2,0.9998961091041565,2.0784404114237987e-05,8.313761645695195e-05,0.0,0.0
3,0.999854564666748,6.235321052372456e-05,8.313761645695195e-05,0.0,0.0
4,0.9997506141662598,0.0001662752329139039,8.313761645695195e-05,0.0,0.0
5,0.9996259212493896,0.00027019725530408323,2.0784404114237987e-05,8.313761645695195e-05,0.0
6,0.9996259212493896,0.00027019725530408323,2.0784404114237987e-05,8.313761645695195e-05,0.0
7,0.999605119228363,0.0002494128420948982,6.235321052372456e-05,8.313761645695195e-05,0.0
8,0.9995635747909546,0.00018705963157117367,0.0001662752329139039,8.313761645695195e-05,0.0
9,0.9995012283325195,0.0001247064210474491,0.00029098166851326823,8.313761645695195e-05,0.0
10,0.9994180798530579,0.00020784404478035867,0.00027019725530408323,0.00010392202239017934,0.0
11,0.9992517828941345,0.00037411926314234734,0.00029098166851326823,8.313761645695195e-05,0.0
12,0.9991270899772644,0.0004572568868752569,0.00029098166851326823,0.0001247064210474491,0.0
13,0.9990647435188293,0.0004572568868752569,0.0002494128420948982,0.00022862844343762845,0.0
14,0.9989607930183411,0.0004988256841897964,0.00020784404478035867,0.0003325504658278078,0.0
15,0.998836100101471,0.0004780413000844419,0.00039490367635153234,0.00029098166851326823,0.0
16,0.9983788728713989,0.0008105917368084192,0.0004988256841897964,0.0003117660526186228,0.0
17,0.9980670809745789,0.001080789021216333,0.0005196101265028119,0.0003325504658278078,0.0
18,0.9979215860366821,0.001122357789427042,0.0005819633370265365,0.00037411926314234734,0.0
19,0.9975267052650452,0.0013509863056242466,0.0006651009316556156,0.0004572568868752569,0.0
20,0.997090220451355,0.0013925550738349557,0.0009352981578558683,0.0005819633370265365,0.0
21,0.9968615770339966,0.0013302018633112311,0.0011431422317400575,0.0006651009316556156,0.0
22,0.9962795972824097,0.001766674336977303,0.0012470642104744911,0.0007066697580739856,0.0
23,0.9958639144897461,0.0017874587792903185,0.0015172614948824048,0.0008313761791214347,0.0
24,0.9955105781555176,0.001641967915929854,0.001849811989814043,0.000997651368379593,0.0
25,0.9949702024459839,0.0019329495262354612,0.0016627523582428694,0.0014341238420456648,0.0
26,0.9944921731948853,0.0018290275475010276,0.0019329495262354612,0.0017458898946642876,0.0
27,0.9939517974853516,0.0020368716213852167,0.0021823623683303595,0.0018290275475010276,0.0
28,0.9934737086296082,0.0022239312529563904,0.002140793716534972,0.002161578042432666,0.0
29,0.9928086400032043,0.0024317752104252577,0.0022031469270586967,0.002556481631472707,0.0
30,0.9922890067100525,0.002577266190201044,0.0024317752104252577,0.002701972611248493,0.0
31,0.9918109774589539,0.002535697305575013,0.002452559769153595,0.0032007982954382896,0.0
32,0.9911874532699585,0.0026604037266224623,0.002577266190201044,0.003574917558580637,0.0
33,0.9906886219978333,0.002452559769153595,0.0029929541051387787,0.0038658990524709225,0.0
34,0.9903560876846313,0.0023486376740038395,0.0030760918743908405,0.004219233989715576,0.0
35,0.9898988008499146,0.002327853348106146,0.0031592294108122587,0.004614137578755617,0.0
36,0.9894207715988159,0.002286284463480115,0.0032007982954382896,0.00509217893704772,0.0
37,0.9888595938682556,0.0025149129796773195,0.0032215826213359833,0.005403945222496986,0.0
38,0.9884647130966187,0.002577266190201044,0.0029929541051387787,0.005965123884379864,0.0
39,0.9877787828445435,0.0028682476840913296,0.0029098165687173605,0.0064431652426719666,0.0
40,0.9875917434692383,0.0026188348419964314,0.0029513854533433914,0.0068380688317120075,0.0
41,0.9874047040939331,0.0023486376740038395,0.0030760918743908405,0.007170619443058968,0.0
42,0.9864901900291443,0.0029098165687173605,0.003117660526186228,0.007482385262846947,0.0
43,0.9855340719223022,0.003367073368281126,0.0034294265788048506,0.007669445127248764,0.0
44,0.9845156669616699,0.004343940410763025,0.003242366947233677,0.007898073643445969,0.0
45,0.9845364093780518,0.00424001831561327,0.003138445084914565,0.008085133507847786,0.0
46,0.9840376377105713,0.003907468169927597,0.0035125643480569124,0.008542390540242195,0.0
47,0.9828736782073975,0.004032174590975046,0.004219233989715576,0.008874940685927868,0.0
48,0.9818136692047119,0.00424001831561327,0.004718059673905373,0.009228275157511234,0.0
49,0.981086254119873,0.00490511953830719,0.00475962832570076,0.009249059483408928,0.0
50,0.9805666208267212,0.004967472516000271,0.005071394611150026,0.009394550696015358,0.0
51,0.9805250763893127,0.004136096220463514,0.005341591779142618,0.009997298009693623,0.0
52,0.9796936511993408,0.0037411926314234734,0.005591004621237516,0.010974165052175522,0.0
53,0.9790493845939636,0.0037204083055257797,0.0053208074532449245,0.011909463442862034,0.0
54,0.9785505533218384,0.003969821147620678,0.005798848811537027,0.01168083492666483,0.0
55,0.9779269695281982,0.004489431157708168,0.005570220295339823,0.012013386003673077,0.0
56,0.9778230786323547,0.004177665337920189,0.005300023127347231,0.012699270620942116,0.0
57,0.9775320887565613,0.003969821147620678,0.0048011974431574345,0.013696921989321709,0.0
58,0.9771164059638977,0.003678839420899749,0.004863550420850515,0.014341238886117935,0.0
59,0.9772410988807678,0.003263151505962014,0.00509217893704772,0.014403591863811016,0.0
60,0.9769501090049744,0.003408642252907157,0.005341591779142618,0.014299670234322548,0.0
61,0.9763889312744141,0.0035957018844783306,0.005029825959354639,0.014985555782914162,0.0
62,0.9755991697311401,0.003907468169927597,0.004821981769055128,0.015671441331505775,0.0
63,0.9752665758132935,0.004364724736660719,0.0043855090625584126,0.015983207151293755,0.0
64,0.9748508930206299,0.004468646831810474,0.0042608026415109634,0.016419678926467896,0.0
65,0.9742065668106079,0.004634921904653311,0.004447862505912781,0.016710661351680756,0.0
66,0.9740610718727112,0.0042608026415109634,0.00475962832570076,0.016918504610657692,0.0
