t,child_susceptible,child_exposed,child_infected,child_recovered,child_dead,adult_susceptible,adult_exposed,adult_infected,adult_recovered,adult_dead,elderly_susceptible,elderly_exposed,elderly_infected,elderly_recovered,elderly_dead
0,0.9996990879376729,1.6716816753614693e-05,0.0002841858891770244,0.0,0.0,0.999632579088211,2.912479976657778e-05,0.0003382957535601842,0.0,0.0,0.9996848146120707,2.1550563784937062e-05,0.00029362641847304377,0.0,0.0
1,0.9996600866317749,5.572272251204898e-05,0.0002841858891770244,0.0,0.0,0.9995418429374695,0.00011985975288553163,0.0003382957535601842,0.0,0.0,0.9995959222316741,0.00011044663842767477,0.00029362641847304377,0.0,0.0
2,0.9995486438274384,0.00016716816899133846,0.0002841858891770244,0.0,0.0,0.9994051853815714,0.00025652227874767655,0.0003382957535601842,0.0,0.0,0.9994854847590129,0.00022089326957939193,0.00029362641847304377,0.0,0.0
3,0.9994427760442098,0.0002730413427343592,0.0002841858891770244,0.0,0.0,0.9992528359095255,0.00040886738570407034,0.0003382957535601842,0.0,0.0,0.9993427077929179,0.00036366575077408927,0.00029362641847304377,0.0,0.0
4,0.9993647634983063,0.00033433633943786846,0.00030090270690076674,0.0,0.0,0.9991262515385946,0.0005063234430660184,0.0003674205538118258,0.0,0.0,0.9991999328136444,0.0004848876623630834,0.00031517697934759783,0.0,0.0
5,0.9992644667625428,0.0003956313380816331,5.572272251204898e-05,0.0002841858891770244,0.0,0.9989582339922587,0.0005836161784827709,0.00011985975288553163,0.0003382957535601842,0.0,0.9990760207176208,0.0005199073270584146,0.00011044663842767477,0.00029362641847304377,0.0
6,0.9992031673590342,0.0003454808868506613,0.00016716816899133846,0.0002841858891770244,0.0,0.9988742132981618,0.0005309675087725433,0.00025652227874767655,0.0003382957535601842,0.0,0.9989925106366475,0.0004929691237824348,0.00022089326957939193,0.00029362641847304377,0.0
7,0.9991195837656657,0.00032319179736077784,0.0002730413427343592,0.0002841858891770244,0.0,0.9986938695112865,0.0005589721195671397,0.00040886738570407034,0.0003382957535601842,0.0,0.9987985571225484,0.0005441517151969795,0.00036366575077408927,0.00029362641847304377,0.0
8,0.9989747047424317,0.000390059066315492,0.0003510531557064193,0.0002841858891770244,0.0,0.998455262184143,0.0006709905869987172,0.0005354482399222131,0.0003382957535601842,0.0,0.9986072878042856,0.0005926404778923218,0.0005064382232376375,0.00029362641847304377,0.0
9,0.998824252684911,0.0004402095180315276,0.0004346372467504504,0.00030090270690076674,0.0,0.9982099453608195,0.0007482833199901507,0.0006743511349971717,0.0003674205538118258,0.0,0.998424110809962,0.0006519045253905157,0.0006088034031563438,0.00031517697934759783,0.0
10,0.9986459414164225,0.0005572272406425327,0.00045692633284488693,0.00033990861411439257,0.0,0.997888453801473,0.0009857624594587834,0.0006676300375450713,0.00045815550790090733,0.0,0.9981224020322164,0.0008701039749818544,0.0006034157646354288,0.0004040730535052717,0.0
11,0.9984731952349345,0.0006463835976319388,0.0004290649744992455,0.0004513540635040651,0.0,0.9975579977035522,0.0011358672005978103,0.0007113172294339165,0.00059481802842735,0.0,0.9978341658910116,0.0009643876837799326,0.0006869241920261023,0.0005145196875673719,0.0
12,0.9982837398846944,0.000690961778551961,0.0004680708841381905,0.0005572272406425327,0.0,0.997207381327947,0.0012478856563878555,0.0007975714397616684,0.0007471631397493184,0.0,0.9975890298684438,0.0010182640961526582,0.0007354129629675299,0.0006572921624562393,0.0
13,0.9980106949806213,0.0008135517753544263,0.0005405104209785349,0.0006352390574951035,0.0,0.9968052367369334,0.0014047114993445576,0.0009163110128914317,0.0008737439949375888,0.0,0.9972415308157603,0.0011825871382219095,0.0007758202681240315,0.0008000646417106812,0.0
14,0.9976317842801412,0.001014153588039335,0.0006185222383161697,0.0007355399580167917,0.0,0.9961868902047475,0.0017015604282884548,0.001069776308334743,0.0010417716849284867,0.0,0.9966946800549825,0.001427724788663909,0.0009536124057679747,0.0009239803834740694,0.0
15,0.997291874885559,0.0011813217628514395,0.0007299676862506506,0.0007968349581157478,0.0,0.995515904823939,0.0020420965447556227,0.0013162169188338643,0.0011257855318641912,0.0,0.996123590071996,0.0017105759296100586,0.0011583427568742386,0.0010074888094095513,0.0
