day,counterfactual_cases,actual_cases
0,8.507446885108948,24.0
1,15.635307788848877,12.0
2,13.335997819900513,19.0
3,13.795859813690186,10.0
4,18.394479751586914,15.0
5,22.993099689483643,14.0
6,31.040684580802917,13.0
7,20.923720717430115,7.0
8,27.59171962738037,8.0
9,32.65020155906677,16.0
10,34.489649534225464,11.0
11,44.146751403808594,27.0
12,43.456958413124084,23.0
13,61.62150716781616,15.0
14,25.982202649116516,15.0
15,31.960408568382263,18.0
16,26.212133646011353,36.0
17,32.65020155906677,20.0
18,38.39847648143768,42.0
19,38.858338475227356,39.0
20,38.62840747833252,15.0
21,52.424267292022705,10.0
22,54.72357726097107,15.0
23,56.56302523612976,28.0
24,56.7929562330246,23.0
25,51.50454330444336,19.0
26,69.20923006534576,16.0
27,73.80785000324249,22.0
28,37.708683490753174,31.0
29,40.00799345970154,32.0
30,50.12495732307434,31.0
31,29.431167602539062,23.0
32,38.62840747833252,6.0
33,40.00799345970154,28.0
34,34.7195805311203,11.0
35,48.05557835102081,18.0
36,38.858338475227356,17.0
37,41.38757944107056,41.0
38,33.799856543540955,36.0
39,40.00799345970154,23.0
40,45.296406388282776,37.0
41,36.55902850627899,20.0
42,45.296406388282776,21.0
43,37.47875249385834,50.0
44,36.329097509384155,27.0
45,44.8365443944931,66.0
46,44.146751403808594,33.0
47,46.44606137275696,0.0
48,54.03378427028656,0.0
49,39.31820046901703,93.0
50,36.55902850627899,24.0
51,39.08826947212219,46.0
52,37.93861448764801,49.0
53,40.927717447280884,60.0
54,45.75626838207245,29.0
55,37.2488214969635,30.0
56,28.051581621170044,42.0
57,22.53323769569397,46.0
58,22.303306698799133,39.0
59,23.682892680168152,41.0
60,12.646204829216003,33.0
61,22.303306698799133,8.0
62,20.233927726745605,21.0
63,40.46785545349121,15.0
64,35.86923551559448,45.0
65,31.960408568382263,61.0
66,21.84344470500946,58.0
67,20.00399672985077,49.0
68,39.7780624628067,35.0
69,35.40937352180481,45.0
70,51.96440529823303,19.0
71,45.986199378967285,46.0
72,44.8365443944931,77.0
73,48.97530233860016,69.0
74,47.59571635723114,112.0
75,63.00109314918518,60.0
76,54.953508257865906,39.0
77,26.44206464290619,36.0
78,30.81075358390808,46.0
79,35.40937352180481,43.0
80,37.47875249385834,44.0
81,31.270615577697754,28.0
82,32.1903395652771,39.0
83,29.201236605644226,29.0
84,25.75227165222168,29.0
85,29.891029596328735,23.0
86,32.1903395652771,42.0
87,33.799856543540955,37.0
88,29.201236605644226,26.0
89,36.329097509384155,40.0
90,30.350891590118408,17.0
91,36.78895950317383,45.0
92,35.86923551559448,36.0
93,38.858338475227356,29.0
94,38.858338475227356,61.0
95,40.46785545349121,62.0
96,36.09916651248932,0.0
97,37.018890500068665,58.0
98,20.463858723640442,7.0
99,17.93461775779724,33.0
100,21.84344470500946,28.0
101,25.982202649116516,53.0
102,14.945514798164368,15.0
103,17.244824767112732,20.0
104,22.53323769569397,15.0
105,10.34689486026764,5.0
106,8.047584891319275,12.0
107,6.897929906845093,13.0
108,7.587722897529602,9.0
109,5.748274922370911,11.0
110,4.368688941001892,12.0
111,2.759171962738037,1.0
112,8.96730887889862,6.0
113,9.427170872688293,6.0
114,8.507446885108948,8.0
115,6.2081369161605835,25.0
116,5.058481931686401,5.0
117,4.828550934791565,0.0
118,5.518343925476074,9.0
119,6.43806791305542,3.0
120,7.127860903739929,11.0
121,4.5986199378967285,7.0
122,5.978205919265747,1.0
123,8.047584891319275,5.0
124,3.9088269472122192,3.0
125,3.9088269472122192,7.0
126,3.9088269472122192,4.0
127,6.667998909950256,5.0
128,5.978205919265747,5.0
129,2.9891029596328735,5.0
130,5.518343925476074,4.0
131,3.678895950317383,0.0
132,2.9891029596328735,0.0
133,4.368688941001892,2.0
134,4.5986199378967285,3.0
135,2.759171962738037,6.0
136,7.127860903739929,6.0
137,3.9088269472122192,1.0
138,4.138757944107056,1.0
139,4.828550934791565,3.0
140,3.21903395652771,43.0
141,2.069378972053528,2.0
142,4.138757944107056,3.0
143,3.678895950317383,2.0
144,9.197239875793457,0.0
145,3.678895950317383,2.0
146,2.069378972053528,2.0
147,4.138757944107056,5.0
148,4.138757944107056,0.0
149,3.678895950317383,10.0
150,2.9891029596328735,9.0
151,2.069378972053528,5.0
152,2.069378972053528,1.0
153,4.138757944107056,2.0
154,1.8394479751586914,3.0
155,1.1496549844741821,3.0
156,2.2993099689483643,2.0
157,1.609516978263855,3.0
158,2.5292409658432007,1.0
159,2.5292409658432007,1.0
160,1.609516978263855,3.0
161,1.1496549844741821,1.0
162,0.6897929906845093,0.0
163,1.1496549844741821,0.0
164,0.6897929906845093,0.0
165,0.9197239875793457,1.0
166,0.9197239875793457,3.0
167,0.22993099689483643,2.0
