day,counterfactual_cases,actual_cases
0,3.21903395652771,24.0
1,1.3795859813690186,12.0
2,4.368688941001892,19.0
3,3.21903395652771,10.0
4,3.21903395652771,15.0
5,6.667998909950256,14.0
6,5.978205919265747,13.0
7,8.737377882003784,7.0
8,5.058481931686401,8.0
9,8.277515888214111,16.0
10,7.8176538944244385,11.0
11,7.127860903739929,27.0
12,9.197239875793457,23.0
13,10.806756854057312,15.0
14,4.828550934791565,15.0
15,4.368688941001892,18.0
16,3.21903395652771,36.0
17,5.058481931686401,20.0
18,4.828550934791565,42.0
19,4.368688941001892,39.0
20,3.21903395652771,15.0
21,6.2081369161605835,10.0
22,8.047584891319275,15.0
23,2.5292409658432007,28.0
24,4.5986199378967285,23.0
25,6.43806791305542,19.0
26,7.357791900634766,16.0
27,3.21903395652771,22.0
28,3.9088269472122192,31.0
29,2.759171962738037,32.0
30,3.21903395652771,31.0
31,3.21903395652771,23.0
32,2.2993099689483643,6.0
33,4.138757944107056,28.0
34,2.2993099689483643,11.0
35,2.5292409658432007,18.0
36,3.4489649534225464,17.0
37,2.759171962738037,41.0
38,3.21903395652771,36.0
39,2.5292409658432007,23.0
40,2.069378972053528,37.0
41,2.069378972053528,20.0
42,4.138757944107056,21.0
43,3.9088269472122192,50.0
44,4.138757944107056,27.0
45,2.5292409658432007,66.0
46,2.069378972053528,33.0
47,2.069378972053528,0.0
48,4.138757944107056,0.0
49,2.9891029596328735,93.0
50,3.21903395652771,24.0
51,2.5292409658432007,46.0
52,3.21903395652771,49.0
53,3.4489649534225464,60.0
54,1.8394479751586914,29.0
55,2.759171962738037,30.0
56,2.5292409658432007,42.0
57,3.9088269472122192,46.0
58,2.759171962738037,39.0
59,0.6897929906845093,41.0
60,2.2993099689483643,33.0
61,2.2993099689483643,8.0
62,0.9197239875793457,21.0
63,3.4489649534225464,15.0
64,2.9891029596328735,45.0
65,2.069378972053528,61.0
66,2.069378972053528,58.0
67,2.2993099689483643,49.0
68,3.9088269472122192,35.0
69,1.609516978263855,45.0
70,2.2993099689483643,19.0
71,2.069378972053528,46.0
72,3.21903395652771,77.0
73,3.678895950317383,69.0
74,3.4489649534225464,112.0
75,5.058481931686401,60.0
76,0.9197239875793457,39.0
77,1.8394479751586914,36.0
78,2.069378972053528,46.0
79,3.21903395652771,43.0
80,1.3795859813690186,44.0
81,3.678895950317383,28.0
82,2.759171962738037,39.0
83,1.3795859813690186,29.0
84,2.069378972053528,29.0
85,3.21903395652771,23.0
86,4.138757944107056,42.0
87,5.058481931686401,37.0
88,2.5292409658432007,26.0
89,3.678895950317383,40.0
90,1.609516978263855,17.0
91,3.9088269472122192,45.0
92,4.138757944107056,36.0
93,4.138757944107056,29.0
94,5.978205919265747,61.0
95,5.058481931686401,62.0
96,5.518343925476074,0.0
97,3.21903395652771,58.0
98,2.9891029596328735,7.0
99,2.9891029596328735,33.0
100,2.2993099689483643,28.0
101,3.4489649534225464,53.0
102,2.2993099689483643,15.0
103,4.138757944107056,20.0
104,2.2993099689483643,15.0
105,1.609516978263855,5.0
106,2.069378972053528,12.0
107,0.6897929906845093,13.0
108,1.8394479751586914,9.0
109,0.9197239875793457,11.0
110,1.3795859813690186,12.0
111,0.22993099689483643,1.0
112,0.9197239875793457,6.0
113,2.5292409658432007,6.0
114,1.3795859813690186,8.0
115,2.5292409658432007,25.0
116,2.9891029596328735,5.0
117,2.5292409658432007,0.0
118,2.069378972053528,9.0
119,2.069378972053528,3.0
120,2.069378972053528,11.0
121,5.058481931686401,7.0
122,3.4489649534225464,1.0
123,3.678895950317383,5.0
124,5.058481931686401,3.0
125,0.9197239875793457,7.0
126,2.069378972053528,4.0
127,7.587722897529602,5.0
128,4.828550934791565,5.0
129,3.678895950317383,5.0
130,2.759171962738037,4.0
131,7.357791900634766,0.0
132,2.9891029596328735,0.0
133,7.587722897529602,2.0
134,8.047584891319275,3.0
135,8.507446885108948,6.0
136,2.9891029596328735,6.0
137,6.897929906845093,1.0
138,6.43806791305542,1.0
139,8.737377882003784,3.0
140,10.806756854057312,43.0
141,7.8176538944244385,2.0
142,7.127860903739929,3.0
143,8.96730887889862,2.0
144,13.56592881679535,0.0
145,11.726480841636658,2.0
146,12.18634283542633,2.0
147,9.887032866477966,5.0
148,11.266618847846985,0.0
149,16.555031776428223,10.0
150,13.795859813690186,9.0
151,10.576825857162476,5.0
152,10.116963863372803,1.0
153,13.795859813690186,2.0
154,12.18634283542633,3.0
155,10.34689486026764,3.0
156,13.56592881679535,2.0
157,14.945514798164368,3.0
158,10.116963863372803,1.0
159,9.887032866477966,1.0
160,15.635307788848877,3.0
161,4.828550934791565,1.0
162,7.127860903739929,0.0
163,7.127860903739929,0.0
164,5.518343925476074,0.0
165,5.518343925476074,1.0
166,9.197239875793457,3.0
167,4.828550934791565,2.0
