t,child_susceptible,child_exposed,child_infected,child_recovered,child_dead,adult_susceptible,adult_exposed,adult_infected,adult_recovered,adult_dead,elderly_susceptible,elderly_exposed,elderly_infected,elderly_recovered,elderly_dead
0,0.9996600866317749,1.1144544502409797e-05,0.0003287640676717274,0.0,0.0,0.999646023909251,2.8004615160170943e-05,0.00032597372482996435,0.0,0.0,0.9996605773766836,1.8856743311819932e-05,0.00032056462465940663,0.0,0.0
1,0.9996155142784119,5.572272251204898e-05,0.0003287640676717274,0.0,0.0,0.9995631277561188,0.00011089827651934077,0.00032597372482996435,0.0,0.0,0.9996255576610565,5.387640897727882e-05,0.00032056462465940663,0.0,0.0
2,0.9995486497879028,0.0001225899900115716,0.0003287640676717274,0.0,0.0,0.9994488735993703,0.0002251571087981574,0.00032597372482996435,0.0,0.0,0.999517810344696,0.00016162922596170878,0.00032056462465940663,0.0,0.0
3,0.9994594931602478,0.00021174634797110531,0.0003287640676717274,0.0,0.0,0.999324522415797,0.0003494976001093164,0.00032597372482996435,0.0,0.0,0.9994181334972382,0.0002613005776462766,0.00032056462465940663,0.0,0.0
4,0.9993814786275228,0.00027861361692581944,0.00033990861217413716,0.0,0.0,0.9991643369197846,0.0004816793846354509,0.00035397833853494375,0.0,0.0,0.9993319392204285,0.0003286460841385027,0.00033942136554590736,0.0,0.0
5,0.9993090391159057,0.00030647497769678014,5.572272251204898e-05,0.0003287640676717274,0.0,0.9990500807762146,0.0005130445550700339,0.00011089827651934077,0.00032597372482996435,0.0,0.9992565095424653,0.00036905338832487664,5.387640897727882e-05,0.00032056462465940663,0.0
6,0.9992756028970082,0.0002730413427343592,0.0001225899900115716,0.0003287640676717274,0.0,0.9990007976690928,0.0004480738440179266,0.0002251571087981574,0.00032597372482996435,0.0,0.999208019177119,0.00030978934228187427,0.00016162922596170878,0.00032056462465940663,0.0
7,0.9991975943247478,0.0002618967992020771,0.00021174634797110531,0.0003287640676717274,0.0,0.9988977432250976,0.00042679033843645207,0.0003494976001093164,0.00032597372482996435,0.0,0.9991218209266662,0.0002963202399162886,0.0002613005776462766,0.00032056462465940663,0.0
8,0.9991195817788442,0.0002618967987170132,0.0002897581614282293,0.0003287640676717274,0.0,0.9987409154574076,0.00042342978510229536,0.0005096840002806857,0.00032597372482996435,0.0,0.9990248382091522,0.0003070955213236933,0.0003475028284204503,0.00032056462465940663,0.0
9,0.9989858488241832,0.00032319179348026713,0.00035105315861680235,0.00033990861217413716,0.0,0.9985370357831319,0.0005130445555550977,0.0005959382135188207,0.00035397833853494375,0.0,0.9988955318927765,0.00036097192933084445,0.00040407305447539936,0.00033942136554590736,0.0
10,0.9988744020462036,0.00040120361033283797,0.00033990861217413716,0.00038448678872858485,0.0,0.9983354032039642,0.0006653896591160447,0.0005623326729012963,0.00043687200183436896,0.0,0.9987096607685089,0.000498356768124116,0.00041754215684098505,0.0003744410292711109,0.0
11,0.9987908224264781,0.00040677588306910667,0.0003510531576466747,0.0004513540581683628,0.0,0.9981158514817555,0.0007818888601226112,0.000551130832657994,0.0005511308292625472,0.0,0.9985722760359447,0.0005495393551730861,0.00039599159305604795,0.00048219384383022164,0.0
12,0.9986738006273905,0.00044578178882754096,0.0003399086131442649,0.0005405104175830881,0.0,0.9979287803173065,0.0008121338411001489,0.0005836161886691116,0.0006754713288197915,0.0,0.9984268109003703,0.0005980281183534923,0.0003932977725829308,0.0005818651926044065,0.0
13,0.9985846439997356,0.0004012036064523272,0.00039563133905176075,0.0006185222354057866,0.0,0.9977551519870758,0.0007818888581823558,0.0006273033834683398,0.0008356577163795009,0.0,0.9982921143372854,0.0006034157539640243,0.00043639890015280495,0.0006680674443487078,0.0
14,0.998395190636317,0.00047921542621528107,0.00043463724626538653,0.0006909617780668972,0.0,0.9974437395731608,0.0008916669530056727,0.0007146777837382009,0.0009499165578745305,0.0,0.9980927725632985,0.0006168848645756953,0.0005468455332447774,0.0007434944137154768,0.0
15,0.9982503096262614,0.0005405104209785349,0.0004847876960411668,0.0007243954125442543,0.0,0.9971536139647166,0.0009622385832093035,0.0008849458419717849,0.0009992046786161761,0.0,0.997791067759196,0.0007812079051897551,0.0006357415986713022,0.0007919831812614575,0.0
16,0.9980608483155569,0.0006129499636396455,0.0005237936066502395,0.0008024072269715058,0.0,0.9968029896418253,0.0011257855338044464,0.0009689596937581276,0.0011022616604653497,0.0,0.9975324710210164,0.0008943483534191425,0.0006950056471396237,0.0008781854354310781,0.0
17,0.9978323896725972,0.0007522567776807894,0.0005349381472721386,0.0008804190375182468,0.0,0.9963941276073456,0.00136102430212001,0.0009857624594587834,0.0012590875014817963,0.0,0.9972172796726226,0.0010748343154167136,0.0007327191332781997,0.0009751629695529118,0.0
18,0.9975816408793131,0.000813551773414171,0.000590660874634826,0.0010141535841588242,0.0,0.9960031787554423,0.0014405574125703423,0.0010933001787634567,0.0014629611008179684,0.0,0.9968617022037506,0.0012310759144990395,0.0008027584670344367,0.001104466343531385,0.0
19,0.9972138643264771,0.0010364426755889629,0.0006240945134777576,0.001125599035488752,0.0,0.9955035805702209,0.0016500319383339957,0.0011817947583040223,0.0016645943163894118,0.0,0.9965384423732757,0.0012526264666424443,0.0009185927430128989,0.0012903399513258288,0.0
20,0.9969241042931875,0.0011367435906625663,0.0007299676857655868,0.0012091831236224,0.0,0.9950107018152873,0.001792295362489919,0.0013128563684100907,0.00188415051670745,0.0,0.9961047371228536,0.001427724788663909,0.001039814655086957,0.0014277247867236535,0.0
21,0.9966454982757569,0.0011868940341325167,0.0008414131409760254,0.0013262008365321283,0.0,0.9945200582345327,0.0018740688664062569,0.0015346529175682615,0.002071221355193605,0.0,0.9957410713036855,0.0014762135552397618,0.0012095253410128255,0.0015731911000330002,0.0
22,0.9963613053162893,0.0012203276545430222,0.0010030090449921166,0.0014153571906111513,0.0,0.9940249383449554,0.0019782460275261354,0.0017519687224800387,0.002244849957060069,0.0,0.9953208347161611,0.0015408652582361052,0.001430418606226643,0.00170788211398758,0.0
23,0.9960771183172862,0.0011367435809612894,0.0011813217594559926,0.0016048144578235223,0.0,0.9933976312478383,0.0021059470755668977,0.001940159744117409,0.0025562612844320636,0.0,0.9948305547237396,0.0017078821101070693,0.0015543343441095203,0.0019072248212372263,0.0
24,0.995792939265569,0.0011311713043445101,0.001326200834591873,0.0017496935460561266,0.0,0.9927860140800476,0.0022246866331746182,0.0021429131700036424,0.0028463890892453493,0.0,0.9943860789140065,0.001718657393939793,0.0016863315414714938,0.0022089326909432807,0.0
25,0.9954753200213114,0.0011701771999166036,0.0014153571877007682,0.001939150809387987,0.0,0.9920735776424408,0.0024464831609899798,0.002282936232707774,0.00319700688123703,0.0,0.9937934339046478,0.0019476321273638557,0.001791390534102296,0.0024675394291989506,0.0
26,0.9950406750043234,0.0013206285647659874,0.0014710799170037112,0.00216761395179977,0.0,0.9913196881612142,0.0027052458104056616,0.0023691904672887175,0.003605874270821611,0.0,0.9931549966335297,0.002165831559492896,0.0018964495393447578,0.002782716442986081,0.0
