t,child_susceptible,child_exposed,child_infected,child_recovered,child_dead,adult_susceptible,adult_exposed,adult_infected,adult_recovered,adult_dead,elderly_susceptible,elderly_exposed,elderly_infected,elderly_recovered,elderly_dead
0,0.9996600866317749,4.4578178494703026e-05,0.000295330434164498,0.0,0.0,0.9996370613574982,4.256701504345983e-05,0.0003203728008278025,0.0,0.0,0.9996632734934489,3.23258456774056e-05,0.00030440170182070386,0.0,0.0
1,0.9995987912019094,0.00010587317374302074,0.000295330434164498,0.0,0.0,0.9995362480481466,0.00014338362962007523,0.0003203728008278025,0.0,0.0,0.9995743691921234,0.00012122191837988794,0.00030440170182070386,0.0,0.0
2,0.9995207846164703,0.00018388498671508083,0.000295330434164498,0.0,0.0,0.9993682225545247,0.00031141132543173927,0.0003203728008278025,0.0,0.0,0.9994585434595744,0.00023705619387328624,0.00030440170182070386,0.0,0.0
3,0.9994149128595988,0.0002897581609431654,0.000295330434164498,0.0,0.0,0.9992270787556966,0.000452554585353937,0.0003203728008278025,0.0,0.0,0.9993022998174032,0.0003932977711277393,0.00030440170182070386,0.0,0.0
4,0.9993313252925873,0.0003287640691269189,0.000339908612659201,0.0,0.0,0.9990344047546387,0.0006026593255228363,0.00036293981490113464,0.0,0.0,0.999146060148875,0.0005172135119209997,0.0003367275455578541,0.0,0.0
5,0.9992644588152567,0.00033433634089305995,0.00010587317374302074,0.000295330434164498,0.0,0.9988540530204773,0.0006821924306374664,0.00014338362962007523,0.0003203728008278025,0.0,0.99897633989652,0.0005980281217489392,0.00012122191837988794,0.00030440170182070386,0.0
6,0.9991920173168183,0.00032876406961198273,0.00018388498671508083,0.000295330434164498,0.0,0.998742034037908,0.0006261831969216776,0.00031141132543173927,0.0003203728008278025,0.0,0.9989116926987965,0.0005468455283941391,0.00023705619387328624,0.00030440170182070386,0.0
7,0.9990694344043731,0.0003454808844253421,0.0002897581609431654,0.000295330434164498,0.0,0.9985684037208558,0.0006586685495373483,0.000452554585353937,0.0003203728008278025,0.0,0.9987796942392985,0.0005226011533522978,0.0003932977711277393,0.00030440170182070386,0.0
8,0.9989301204681397,0.0004012036108179018,0.0003733422476216219,0.000295330434164498,0.0,0.9983018020788829,0.0007326007388959017,0.000645226343961743,0.0003203728008278025,0.0,0.9985803504784901,0.0005657022755864697,0.0005495393498373839,0.00030440170182070386,0.0
9,0.9987740993499756,0.0004903599745982016,0.0003956313375965692,0.000339908612659201,0.0,0.997948944568634,0.0009051091682825547,0.0007830090413335711,0.00036293981490113464,0.0,0.9983406086762746,0.0006357416064323236,0.0006869241978468683,0.0003367275455578541,0.0
10,0.998579066991806,0.000612949968490284,0.00040677588258404286,0.0004012036088776464,0.0,0.9975456754366557,0.001196357170798971,0.0007942108873976395,0.00046375642947775003,0.0,0.9981008569399515,0.0008108399269985966,0.000662679804857665,0.0004256236182603364,0.0
11,0.9983338912328085,0.0007355399618973024,0.00045135406010861817,0.00047921542233477036,0.0,0.9971256057421366,0.0014427977876039222,0.0007998118113998013,0.0006317841248043503,0.0,0.9977614303429921,0.0010182640946974667,0.0006788427315768785,0.0005414578893881602,0.0
12,0.9980218450228373,0.0009082803944086966,0.00048478769846648596,0.0005850886004433657,0.0,0.9967100203037262,0.0015917823320099464,0.000925272487802431,0.0007729273832713565,0.0,0.9974543432394664,0.0011260169044059391,0.0007219438576915612,0.0006976994680978047,0.0
