t,susceptible,exposed,infected,recovered,dead
0,0.9995635747909546,4.156880822847597e-05,0.00039490367635153234,0.0,0.0
1,0.9994596242904663,0.00014549083425663412,0.00039490367635153234,0.0,0.0
2,0.9992933869361877,0.0003117660526186228,0.00039490367635153234,0.0,0.0
3,0.9991270899772644,0.0004780413000844419,0.00039490367635153234,0.0,0.0
4,0.9990231394767761,0.0005403945106081665,0.0004364724736660719,0.0,0.0
5,0.9987114071846008,0.0007482385262846947,0.00014549083425663412,0.00039490367635153234,0.0
6,0.9986282587051392,0.0006651009316556156,0.0003117660526186228,0.00039490367635153234,0.0
7,0.9984619617462158,0.0006651009316556156,0.0004780413000844419,0.00039490367635153234,0.0
8,0.9982125759124756,0.0008105917368084192,0.0005819633370265365,0.00039490367635153234,0.0
9,0.9978800415992737,0.0008313761791214347,0.0008521605632267892,0.0004364724736660719,0.0
10,0.9975682497024536,0.0010600045789033175,0.0008313761791214347,0.0005403945106081665,0.0
11,0.9972357153892517,0.0012262798845767975,0.0008313761791214347,0.0007066697580739856,0.0
12,0.9967160820960999,0.0014964770525693893,0.0009145137737505138,0.0008729449473321438,0.0
13,0.9961965084075928,0.001683536684140563,0.0011431422317400575,0.0009768670424818993,0.0
14,0.9954066872596741,0.002161578042432666,0.0011431422317400575,0.001288633095100522,0.0
15,0.9945337176322937,0.002701972611248493,0.0013925550738349557,0.0013717706315219402,0.0
16,0.9938063025474548,0.0029098165687173605,0.0017458898946642876,0.0015380459371954203,0.0
17,0.9929125308990479,0.003283935831859708,0.002016087295487523,0.0017874587792903185,0.0
18,0.9917070865631104,0.003699623979628086,0.0024733440950512886,0.002120009157806635,0.0
19,0.9905223250389099,0.004011389799416065,0.0030345229897648096,0.0024317752104252577,0.0
20,0.9884854555130005,0.0053208074532449245,0.0034294265788048506,0.0027643258217722178,0.0
21,0.9873007535934448,0.00561178894713521,0.003803545841947198,0.003283935831859708,0.0
22,0.9856588244438171,0.006048261653631926,0.004489431157708168,0.003803545841947198,0.0
23,0.9832686185836792,0.0072537572123110294,0.004884334746748209,0.0045933532528579235,0.0
24,0.9809823036193848,0.007503170054405928,0.006048261653631926,0.005466298200190067,0.0
25,0.9782595634460449,0.009041216224431992,0.006505518686026335,0.006193752400577068,0.0
26,0.9752042293548584,0.010454555042088032,0.0072537572123110294,0.007087481673806906,0.0
27,0.9708187580108643,0.012449857778847218,0.008438467979431152,0.008292977698147297,0.0
28,0.9691767692565918,0.011805541813373566,0.009540041908621788,0.009477687999606133,0.0
29,0.9674100875854492,0.01084945909678936,0.010225926525890827,0.01151456031948328,0.0
30,0.9654563665390015,0.009747885167598724,0.012096523307263851,0.012699270620942116,0.0
31,0.9632116556167603,0.007607091683894396,0.014840064570307732,0.014341238886117935,0.0
32,0.9602810144424438,0.008895725011825562,0.014091826044023037,0.016731444746255875,0.0
33,0.9577037692070007,0.009706316515803337,0.013572216033935547,0.01901772990822792,0.0
34,0.9551472663879395,0.010309064760804176,0.012803193181753159,0.021740486845374107,0.0
35,0.9512606263160706,0.011951032094657421,0.011992600746452808,0.02479579485952854,0.0
36,0.9476025700569153,0.012678486295044422,0.010537693277001381,0.029181303456425667,0.0
37,0.9440900087356567,0.013613784685730934,0.011472990736365318,0.030823271721601486,0.0
38,0.9395589828491211,0.015588303096592426,0.012262798845767975,0.03258994594216347,0.0
39,0.9351942539215088,0.01606634445488453,0.014195747673511505,0.03454367816448212,0.0
40,0.9303306937217712,0.01727183908224106,0.01560908742249012,0.036788396537303925,0.0
41,0.9254047870635986,0.018685178831219673,0.01619105041027069,0.03971899673342705,0.0
42,0.9224534034729004,0.01710556447505951,0.01814478449523449,0.042296260595321655,0.0
43,0.9196683168411255,0.015525950118899345,0.019953027367591858,0.04485274478793144,0.0
44,0.9163012504577637,0.014029473066329956,0.020929895341396332,0.04873942583799362,0.0
45,0.9138694405555725,0.011535344645380974,0.022197743877768517,0.052397482097148895,0.0
46,0.9109388589859009,0.01151456031948328,0.021636564284563065,0.05591004714369774,0.0
47,0.9071769118309021,0.012491426430642605,0.01989067532122135,0.060441046953201294,0.0
48,0.9041423797607422,0.012158876284956932,0.01889302395284176,0.064805768430233,0.0
49,0.9001517295837402,0.013717706315219402,0.016461247578263283,0.06966932117938995,0.0
50,0.8966599702835083,0.014278885908424854,0.014465944841504097,0.07459522783756256,0.0
51,0.894103467464447,0.01307339034974575,0.015276537276804447,0.0775466114282608,0.0
52,0.8911520838737488,0.012990252114832401,0.015525950118899345,0.0803317204117775,0.0
53,0.8876187801361084,0.012532996013760567,0.016149481758475304,0.08369879424571991,0.0
54,0.883981466293335,0.012678486295044422,0.017209487035870552,0.08613057434558868,0.0
55,0.8800740242004395,0.014029473066329956,0.016835367307066917,0.08906117081642151,0.0
56,0.8758132457733154,0.015338890254497528,0.016024775803089142,0.09282314777374268,0.0
57,0.8713861703872681,0.016232619062066078,0.01652360148727894,0.09585767239332199,0.0
58,0.8665849566459656,0.01739654690027237,0.016170267015695572,0.09984827786684036,0.0
59,0.8624696135520935,0.017604390159249306,0.016585955396294594,0.10334005951881409,0.0
60,0.8587700128555298,0.017043210566043854,0.01829027570784092,0.10589653998613358,0.0
61,0.8537609577178955,0.017625175416469574,0.01976596750319004,0.10884792357683182,0.0
62,0.8485856652259827,0.01799929328262806,0.021033816039562225,0.11238127201795578,0.0
63,0.8444495797157288,0.018020078539848328,0.021511858329176903,0.11601854115724564,0.0
64,0.8403134346008301,0.01845655031502247,0.021304015070199966,0.11992601305246353,0.0
65,0.8360318541526794,0.017729096114635468,0.022052252665162086,0.12418681383132935,0.0
66,0.8315632343292236,0.017022427171468735,0.022800492122769356,0.1286138892173767,0.0
67,0.827094554901123,0.017354978248476982,0.02213538996875286,0.133415088057518,0.0
68,0.822833776473999,0.017479684203863144,0.02215617522597313,0.1375304013490677,0.0
69,0.8188431859016418,0.017188701778650284,0.0227381382137537,0.1412300318479538,0.0
70,0.8164737224578857,0.01508947741240263,0.022197743877768517,0.14623907208442688,0.0
71,0.8138964772224426,0.013198096305131912,0.021491073071956635,0.15141437947750092,0.0
72,0.8112776279449463,0.011556128971278667,0.021615780889987946,0.15555047988891602,0.0
73,0.8086380362510681,0.010205142199993134,0.021470289677381516,0.15968658030033112,0.0
74,0.8070999979972839,0.009373766370117664,0.019558124244213104,0.16396816074848175,0.0
75,0.8046474456787109,0.009249059483408928,0.01766674406826496,0.16843681037425995,0.0
76,0.8021117448806763,0.009165922179818153,0.015816930681467056,0.17290546000003815,0.0
