day,counterfactual_cases,actual_cases
0,2.069378972053528,24.0
1,2.5292409658432007,12.0
2,3.678895950317383,19.0
3,1.3795859813690186,10.0
4,1.609516978263855,15.0
5,3.21903395652771,14.0
6,2.759171962738037,13.0
7,3.21903395652771,7.0
8,3.678895950317383,8.0
9,5.058481931686401,16.0
10,7.8176538944244385,11.0
11,2.5292409658432007,27.0
12,4.5986199378967285,23.0
13,6.897929906845093,15.0
14,4.5986199378967285,15.0
15,2.9891029596328735,18.0
16,2.759171962738037,36.0
17,2.2993099689483643,20.0
18,5.288412928581238,42.0
19,2.759171962738037,39.0
20,3.678895950317383,15.0
21,4.5986199378967285,10.0
22,4.368688941001892,15.0
23,8.047584891319275,28.0
24,3.9088269472122192,23.0
25,4.138757944107056,19.0
26,3.21903395652771,16.0
27,5.748274922370911,22.0
28,3.4489649534225464,31.0
29,2.2993099689483643,32.0
30,3.21903395652771,31.0
31,2.069378972053528,23.0
32,2.759171962738037,6.0
33,1.8394479751586914,28.0
34,1.609516978263855,11.0
35,2.5292409658432007,18.0
36,3.4489649534225464,17.0
37,1.609516978263855,41.0
38,1.609516978263855,36.0
39,2.759171962738037,23.0
40,1.3795859813690186,37.0
41,1.8394479751586914,20.0
42,3.21903395652771,21.0
43,1.609516978263855,50.0
44,1.3795859813690186,27.0
45,2.5292409658432007,66.0
46,2.069378972053528,33.0
47,2.069378972053528,0.0
48,1.3795859813690186,0.0
49,1.3795859813690186,93.0
50,1.8394479751586914,24.0
51,2.2993099689483643,46.0
52,1.1496549844741821,49.0
53,1.609516978263855,60.0
54,1.3795859813690186,29.0
55,0.6897929906845093,30.0
56,1.609516978263855,42.0
57,1.1496549844741821,46.0
58,1.3795859813690186,39.0
59,0.6897929906845093,41.0
60,0.6897929906845093,33.0
61,0.6897929906845093,8.0
62,1.3795859813690186,21.0
63,1.3795859813690186,15.0
64,0.22993099689483643,45.0
65,2.069378972053528,61.0
66,0.6897929906845093,58.0
67,0.6897929906845093,49.0
68,0.9197239875793457,35.0
69,0.9197239875793457,45.0
70,1.1496549844741821,19.0
71,2.9891029596328735,46.0
72,0.6897929906845093,77.0
73,0.45986199378967285,69.0
74,0.6897929906845093,112.0
75,1.3795859813690186,60.0
76,5.058481931686401,39.0
77,0.45986199378967285,36.0
78,0.6897929906845093,46.0
79,0.9197239875793457,43.0
80,0.6897929906845093,44.0
81,1.8394479751586914,28.0
82,0.45986199378967285,39.0
83,1.609516978263855,29.0
84,0.9197239875793457,29.0
85,0.9197239875793457,23.0
86,2.069378972053528,42.0
87,1.1496549844741821,37.0
88,1.609516978263855,26.0
89,2.069378972053528,40.0
90,1.609516978263855,17.0
91,0.6897929906845093,45.0
92,2.9891029596328735,36.0
93,2.069378972053528,29.0
94,3.4489649534225464,61.0
95,0.9197239875793457,62.0
96,2.2993099689483643,0.0
97,6.2081369161605835,58.0
98,0.9197239875793457,7.0
99,2.759171962738037,33.0
100,1.8394479751586914,28.0
101,1.8394479751586914,53.0
102,2.2993099689483643,15.0
103,2.2993099689483643,20.0
104,1.8394479751586914,15.0
105,0.9197239875793457,5.0
106,0.45986199378967285,12.0
107,0.9197239875793457,13.0
108,2.2993099689483643,9.0
109,2.2993099689483643,11.0
110,0.6897929906845093,12.0
111,0.9197239875793457,1.0
112,0.6897929906845093,6.0
113,0.9197239875793457,6.0
114,2.2993099689483643,8.0
115,1.609516978263855,25.0
116,4.138757944107056,5.0
117,0.6897929906845093,0.0
118,3.9088269472122192,9.0
119,1.609516978263855,3.0
120,0.45986199378967285,11.0
121,4.368688941001892,7.0
122,4.138757944107056,1.0
123,2.759171962738037,5.0
124,4.138757944107056,3.0
125,3.21903395652771,7.0
126,3.21903395652771,4.0
127,5.288412928581238,5.0
128,5.058481931686401,5.0
129,3.9088269472122192,5.0
130,1.8394479751586914,4.0
131,3.21903395652771,0.0
132,5.748274922370911,0.0
133,8.277515888214111,2.0
134,9.65710186958313,3.0
135,3.21903395652771,6.0
136,6.667998909950256,6.0
137,5.288412928581238,1.0
138,7.357791900634766,1.0
139,10.576825857162476,3.0
140,13.56592881679535,43.0
141,14.025790810585022,2.0
142,8.507446885108948,3.0
143,9.65710186958313,2.0
144,8.737377882003784,0.0
145,12.18634283542633,2.0
146,18.164548754692078,2.0
147,10.576825857162476,5.0
148,15.40537679195404,0.0
149,12.87613582611084,10.0
150,12.18634283542633,9.0
151,10.576825857162476,5.0
152,13.56592881679535,1.0
153,14.715583801269531,2.0
154,11.266618847846985,3.0
155,16.555031776428223,3.0
156,11.036687850952148,2.0
157,12.87613582611084,3.0
158,10.576825857162476,1.0
159,16.555031776428223,1.0
160,15.635307788848877,3.0
161,4.138757944107056,1.0
162,4.138757944107056,0.0
163,5.288412928581238,0.0
164,9.197239875793457,0.0
165,7.127860903739929,1.0
166,7.8176538944244385,3.0
167,4.138757944107056,2.0
