t,child_susceptible,child_exposed,child_infected,child_recovered,child_dead,adult_susceptible,adult_exposed,adult_infected,adult_recovered,adult_dead,elderly_susceptible,elderly_exposed,elderly_infected,elderly_recovered,elderly_dead
0,0.9997659623622894,1.1144544502409797e-05,0.00022289089247351512,0.0,0.0,0.9996449013551076,2.912479976657778e-05,0.0003259737233747728,0.0,0.0,0.9996902068456014,2.693820473117133e-05,0.000282851140461086,0.0,0.0
1,0.9997325261433919,4.4578178494703026e-05,0.00022289089247351512,0.0,0.0,0.9995698511600495,0.00010417716888089975,0.0003259737233747728,0.0,0.0,0.9995959242184956,0.00012122191935001561,0.000282851140461086,0.0,0.0
2,0.9996712307135264,0.00010587317277289306,0.00022289089247351512,0.0,0.0,0.9994275788466136,0.00024644061631988733,0.0003259737233747728,0.0,0.0,0.9994800945123037,0.00023705619144796705,0.000282851140461086,0.0,0.0
3,0.9996099352836609,0.00016716816899133846,0.00022289089247351512,0.0,0.0,0.9993066112200419,0.00036742055672220884,0.0003259737233747728,0.0,0.0,0.9993427097797394,0.0003744410297561747,0.000282851140461086,0.0,0.0
4,0.9995597898960114,0.00020617407571990042,0.0002340354389161803,0.0,0.0,0.999197945992152,0.0004469536642621582,0.00035509852459654213,0.0,0.0,0.9992295642693837,0.00046064327956022073,0.0003097893442221296,0.0,0.0
5,0.9994984944661458,0.00023403543697592493,4.4578178494703026e-05,0.00022289089247351512,0.0,0.9990814467271169,0.0004884004956693389,0.00010417716888089975,0.0003259737233747728,0.0,0.9991191188494365,0.0004768062019138597,0.00012122191935001561,0.000282851140461086,0.0
6,0.9994706332683563,0.00020060180201350402,0.00010587317277289306,0.00022289089247351512,0.0,0.9990131239096324,0.00041446830873610453,0.00024644061631988733,0.0003259737233747728,0.0,0.9990787148475647,0.0004013792349724099,0.00023705619144796705,0.000282851140461086,0.0
7,0.9993759055932363,0.00023403543600579723,0.00016716816899133846,0.00022289089247351512,0.0,0.9988865315914154,0.0004200692375889048,0.00036742055672220884,0.0003259737233747728,0.0,0.9989898204803467,0.0003528904659712377,0.0003744410297561747,0.000282851140461086,0.0
8,0.9993146181106567,0.00024517998147833474,0.0002173186197372464,0.00022289089247351512,0.0,0.9987196306387583,0.0004783188317863581,0.00047607846160341674,0.0003259737233747728,0.0,0.9988497436046601,0.00037982867118747287,0.00048758148332126436,0.000282851140461086,0.0
9,0.9991808811823527,0.0003176195241394453,0.00026746907096821817,0.0002340354389161803,0.0,0.9985135118166606,0.0005679335988437136,0.000563452864298597,0.00035509852459654213,0.0,0.9986611723899841,0.00045794946054229514,0.0005710899107119379,0.0003097893442221296,0.0
10,0.9990582923094432,0.00041234815483524775,0.0002618967982319494,0.00026746907339353734,0.0,0.9983152429262797,0.0006978750160972898,0.000556731756660156,0.0004301508927407364,0.0,0.9985076228777567,0.0005710899204132147,0.000517213508040489,0.00040407305447539936,0.0
11,0.9989189823468526,0.00045692633090463157,0.0002953304327093065,0.00032876406815679124,0.0,0.9981203297773997,0.0007662062848491284,0.0005410491682899495,0.0005724143450303624,0.0,0.9983594596385956,0.0006303539640308979,0.0004902753042794454,0.0005199073246330954,0.0
12,0.9987796723842621,0.0005349381521227769,0.0002953304331943703,0.0003900590668005558,0.0,0.9979220608870188,0.0007975714383064769,0.0005869767429733959,0.0006933942679703856,0.0,0.9982032159964244,0.000646516885899473,0.0004929691266928178,0.0006572921634263669,0.0
13,0.998657085498174,0.0005237936061651756,0.000378914519387763,0.00044020951657633607,0.0,0.9976890663305918,0.0008244558805017733,0.0006844327949996416,0.0008020521820678065,0.0,0.9980604449907938,0.0006007219397967371,0.0005683960960595868,0.000770432631058308,0.0
14,0.998462055126826,0.0005962331512516054,0.00044020951754646375,0.0005015045132798453,0.0,0.9973978062470754,0.0009174311970127746,0.0007662062766030431,0.000918551383074373,0.0,0.9978045324484507,0.0007030871134096135,0.0006114972250846525,0.0008808792563892591,0.0
15,0.9982614517211914,0.0006575281479551146,0.000551654967906264,0.0005293658755059975,0.0,0.9970113495985667,0.00110898277052911,0.0008927871419776542,0.0009868826494008923,0.0,0.9974866668383281,0.0008727977930296523,0.0007192500362483164,0.0009212865610606968,0.0
16,0.9980385601520538,0.0007411122234771029,0.000596233146400967,0.0006240945110524384,0.0,0.9966428120930989,0.0012792508355535877,0.000964478955817564,0.001113463506529418,0.0,0.9971391598383585,0.0010640590408002026,0.0007865955461359894,0.0010101826293976047,0.0
17,0.9977209369341532,0.0009361417629406788,0.0006575281426194124,0.0006853895067858199,0.0,0.9962070524692536,0.0014820042400970125,0.0010305698471105038,0.0012803710104587176,0.0,0.9967970470587413,0.001263401754355679,0.0007892893627285957,0.0011502612886639932,0.0
18,0.9974701841672261,0.0009918644801170254,0.0007188231436884962,0.0008191240403296736,0.0,0.9957645793755849,0.0016332291668125739,0.0011157038699214658,0.0014864849799778312,0.0,0.9964226047197978,0.0013819298367404068,0.0008566348789220986,0.0013388287198419372,0.0
19,0.9971637149651845,0.0010977376572554932,0.0007968349488995349,0.0009417140361620113,0.0,0.9952291369438171,0.001782213711218598,0.0013038948862231336,0.0016847576402748625,0.0,0.9959915955861409,0.0014950702956411988,0.0010209579195361584,0.0014923764887498693,0.0
20,0.9968739509582519,0.001164604939306931,0.0008804190384883744,0.0010810208472927722,0.0,0.9946499963601431,0.0019928084288646157,0.0014775234943954275,0.0018796697666402906,0.0,0.9954555233319601,0.0016836377340951002,0.001220300629211124,0.0016405365963388856,0.0
21,0.9966009120146434,0.0011200267559615894,0.0010587317611983357,0.0012203276627891077,0.0,0.9941212713718415,0.002085783736159404,0.0017150026445354645,0.0020779424414892373,0.0,0.9950218160947164,0.001775227623875253,0.0014061742205133973,0.0017967781866900622,0.0
22,0.9962164302666981,0.0012537613035722946,0.0011868940132747714,0.0013429176479500407,0.0,0.9934872488180796,0.0022773353130711863,0.0019244771557472026,0.0023109408425322424,0.0,0.9945450166861216,0.001877592789727108,0.0016378427787761515,0.0019395506581834827,0.0
23,0.995837515592575,0.0013262008321665538,0.0012983394694553378,0.0015379471908090637,0.0,0.9928173720836639,0.0024117574580789854,0.0021686773989737654,0.002602188859600574,0.0,0.9939415951569875,0.00204999729564103,0.001812941118744978,0.0021954635934283337,0.0
24,0.995441879828771,0.0014320740097900852,0.0013874958303252546,0.0017385490054342275,0.0,0.992050051689148,0.002599948481656611,0.0023613491299329325,0.002988652535714209,0.0,0.9933301031589508,0.0021254242814999695,0.0020311405596051676,0.0025133344150769215,0.0
25,0.9950741132100424,0.001526802649217037,0.0014376462665192473,0.001961439893542168,0.0,0.991252475976944,0.002868792754209911,0.0025215355776405583,0.003357193238722781,0.0,0.9927509307861329,0.0022708905598847196,0.002117342798737809,0.0028608372143935413,0.0
26,0.9946506202220917,0.0015658085501248328,0.001504513542749919,0.0022790594171965494,0.0,0.9903417686621349,0.0031454784048643583,0.002719808230176568,0.0037929450685624034,0.0,0.9921017189820608,0.0024432950832609397,0.0022520338228787296,0.0032029524406728643,0.0
