day,counterfactual_cases,actual_cases
0,6.667998909950256,24.0
1,5.978205919265747,12.0
2,6.2081369161605835,19.0
3,8.047584891319275,10.0
4,11.266618847846985,15.0
5,10.116963863372803,14.0
6,15.635307788848877,13.0
7,11.726480841636658,7.0
8,19.084272742271423,8.0
9,19.31420373916626,16.0
10,19.774065732955933,11.0
11,19.544134736061096,27.0
12,25.75227165222168,23.0
13,29.891029596328735,15.0
14,14.945514798164368,15.0
15,14.945514798164368,18.0
16,15.40537679195404,36.0
17,20.233927726745605,20.0
18,22.993099689483643,42.0
19,21.613513708114624,39.0
20,23.91282367706299,15.0
21,28.97130560874939,10.0
22,29.6610985994339,15.0
23,30.120960593223572,28.0
24,30.350891590118408,23.0
25,30.580822587013245,19.0
26,42.3073034286499,16.0
27,48.28550934791565,22.0
28,25.75227165222168,31.0
29,23.452961683273315,32.0
30,25.06247866153717,31.0
31,20.69378972053528,23.0
32,24.832547664642334,6.0
33,32.1903395652771,28.0
34,29.6610985994339,11.0
35,34.25971853733063,18.0
36,27.361788630485535,17.0
37,26.901926636695862,41.0
38,28.97130560874939,36.0
39,28.741374611854553,23.0
40,33.56992554664612,37.0
41,33.56992554664612,20.0
42,38.39847648143768,21.0
43,37.47875249385834,50.0
44,40.69778645038605,27.0
45,40.00799345970154,66.0
46,37.47875249385834,33.0
47,54.03378427028656,0.0
48,44.146751403808594,0.0
49,36.55902850627899,93.0
50,42.767165422439575,24.0
51,40.46785545349121,46.0
52,44.37668240070343,49.0
53,45.986199378967285,60.0
54,42.99709641933441,29.0
55,46.90592336654663,30.0
56,23.452961683273315,42.0
57,28.28151261806488,46.0
58,27.821650624275208,39.0
59,27.361788630485535,41.0
60,17.704686760902405,33.0
61,26.212133646011353,8.0
62,22.53323769569397,21.0
63,41.84744143486023,15.0
64,41.84744143486023,45.0
65,33.56992554664612,61.0
66,31.960408568382263,58.0
67,28.97130560874939,49.0
68,44.60661339759827,35.0
69,48.05557835102081,45.0
70,62.54123115539551,19.0
71,68.05957508087158,46.0
72,60.01199018955231,77.0
73,55.41337025165558,69.0
74,68.51943707466125,112.0
75,71.50854003429413,60.0
76,78.63640093803406,39.0
77,42.99709641933441,36.0
78,50.584819316864014,46.0
79,46.675992369651794,43.0
80,53.34399127960205,44.0
81,57.482749223709106,28.0
82,48.515440344810486,39.0
83,37.2488214969635,29.0
84,46.21613037586212,29.0
85,53.57392227649689,23.0
86,56.7929562330246,42.0
87,50.584819316864014,37.0
88,45.75626838207245,26.0
89,53.57392227649689,40.0
90,51.27461230754852,17.0
91,52.19433629512787,45.0
92,45.75626838207245,36.0
93,51.04468131065369,29.0
94,60.701783180236816,61.0
95,61.16164517402649,62.0
96,60.47185218334198,0.0
97,52.424267292022705,58.0
98,26.212133646011353,7.0
99,30.81075358390808,33.0
100,32.88013255596161,28.0
101,22.073375701904297,53.0
102,25.522340655326843,15.0
103,27.361788630485535,20.0
104,23.22303068637848,15.0
105,12.646204829216003,5.0
106,11.496549844741821,12.0
107,9.427170872688293,13.0
108,11.496549844741821,9.0
109,10.116963863372803,11.0
110,5.058481931686401,12.0
111,3.21903395652771,1.0
112,12.18634283542633,6.0
113,12.18634283542633,6.0
114,7.8176538944244385,8.0
115,7.587722897529602,25.0
116,6.897929906845093,5.0
117,9.887032866477966,0.0
118,6.43806791305542,9.0
119,7.587722897529602,3.0
120,6.667998909950256,11.0
121,8.737377882003784,7.0
122,5.518343925476074,1.0
123,6.43806791305542,5.0
124,5.978205919265747,3.0
125,8.277515888214111,7.0
126,4.828550934791565,4.0
127,5.518343925476074,5.0
128,6.667998909950256,5.0
129,5.748274922370911,5.0
130,2.069378972053528,4.0
131,5.518343925476074,0.0
132,3.4489649534225464,0.0
133,4.5986199378967285,2.0
134,2.5292409658432007,3.0
135,5.518343925476074,6.0
136,3.4489649534225464,6.0
137,1.609516978263855,1.0
138,4.828550934791565,1.0
139,3.678895950317383,3.0
140,4.5986199378967285,43.0
141,3.4489649534225464,2.0
142,3.4489649534225464,3.0
143,2.759171962738037,2.0
144,2.2993099689483643,0.0
145,4.828550934791565,2.0
146,3.9088269472122192,2.0
147,2.759171962738037,5.0
148,1.1496549844741821,0.0
149,0.6897929906845093,10.0
150,1.8394479751586914,9.0
151,2.2993099689483643,5.0
152,2.5292409658432007,1.0
153,1.3795859813690186,2.0
154,1.609516978263855,3.0
155,0.6897929906845093,3.0
156,1.1496549844741821,2.0
157,1.8394479751586914,3.0
158,1.8394479751586914,1.0
159,1.1496549844741821,1.0
160,1.8394479751586914,3.0
161,0.6897929906845093,1.0
162,0.0,0.0
163,0.6897929906845093,0.0
164,0.6897929906845093,0.0
165,0.9197239875793457,1.0
166,0.22993099689483643,3.0
167,0.22993099689483643,2.0
