Iteration,Task Loss
122.0,172040.01501818025
123.0,226528.34914349462
124.0,168404.1110252851
125.0,185190.48043224297
126.0,156869.42407138782
127.0,188731.62791186568
128.0,290860.22993679286
129.0,214652.97967364706
130.0,162707.36770304342
131.0,129145.01064818837
132.0,146601.8273997731
133.0,205088.04577569748
134.0,122419.9748453574
135.0,201085.31644037546
136.0,158155.63510039967
137.0,197719.7773903185
138.0,115241.97968089738
139.0,181122.83945865615
140.0,176494.58417831993
141.0,185810.17898042925
142.0,122544.6580283475
143.0,184654.63127515774
144.0,103830.84500105861
145.0,130512.92203700713
146.0,213589.98957722823
147.0,97442.95534073688
148.0,103709.4476374323
149.0,204436.98185158003
150.0,117557.59769970496
151.0,161943.037536244
152.0,158367.38134326314
153.0,143594.1319076671
154.0,93383.86814597403
155.0,171073.370717455
156.0,106873.33398515978
157.0,96464.50520940215
158.0,133102.7732198173
159.0,91112.68335923078
160.0,108205.50773374044
161.0,115259.14740478924
162.0,107337.48694602415
163.0,125153.52857238254
164.0,101755.06873259562
165.0,104836.63224421305
166.0,85907.74373297178
167.0,194794.28659892565
168.0,85272.69960653262
169.0,104890.16533491161
170.0,162130.66076499125
171.0,146355.26302645306
172.0,84674.37992985023
173.0,93077.20414034874
174.0,105760.31251002269
175.0,86654.57734239745
176.0,84240.22211798566
177.0,123107.81877022484
178.0,174093.06697814693
179.0,78138.80424176576
180.0,81785.7177312182
181.0,105035.82478299148
182.0,93313.8238838079
183.0,101705.01921320443
184.0,109455.67096055306
185.0,140511.4368531613
186.0,74632.01077624796
187.0,90700.27986496144
188.0,72669.25358949398
189.0,82183.54193161274
190.0,82428.58821047613
191.0,87266.85048936652
192.0,71462.01290245513
193.0,67469.19219068895
194.0,70278.24476051665
195.0,85874.2485089346
196.0,84588.32415074809
197.0,67510.20011664723
198.0,110969.12223822637
199.0,84871.84975303328
200.0,67308.6434673625
201.0,74251.24064075814
202.0,69783.42911857853
203.0,121640.59198225696
204.0,70942.92859366057
205.0,67461.9230630035
206.0,69118.55795618655
207.0,61681.02456775084
208.0,65185.921037905406
209.0,61854.877051435615
210.0,59488.67423467227
211.0,80339.34216644107
212.0,95463.8767771965
213.0,75450.44695315712
214.0,70008.99161936238
215.0,56082.60960202285
216.0,88761.62913673515
217.0,76986.52185773748
218.0,83402.84495859931
219.0,67267.28215393494
220.0,66062.44585246377
221.0,62753.142794173174
222.0,70885.90358516085
223.0,166997.601187517
224.0,68736.6192319841
225.0,59066.962301067346
226.0,54125.65378997254
227.0,54191.69824126824
228.0,85483.85961004175
229.0,66591.54079286549
230.0,129377.79413706515
231.0,56763.14577704892
232.0,55968.186135113
233.0,75017.67257147934
234.0,138018.69622255646
235.0,57562.88128795954
236.0,47878.678112040536
237.0,48976.879837042536
238.0,58512.89182321733
239.0,76953.83214540785
240.0,74448.79475363271
241.0,49094.564407744765
242.0,45944.84149812465
243.0,50530.29679859722
244.0,48455.487868934106
245.0,53348.30421710571
246.0,56149.1960239589
247.0,46697.368457199744
248.0,97478.281348879
249.0,76505.11093496643
250.0,46310.15786911327
251.0,45036.36747726435
