t,child_susceptible,child_exposed,child_infected,child_recovered,child_dead,adult_susceptible,adult_exposed,adult_infected,adult_recovered,adult_dead,elderly_susceptible,elderly_exposed,elderly_infected,elderly_recovered,elderly_dead
0,0.9996712346871693,1.1144544502409797e-05,0.00031761952171412605,0.0,0.0,0.9996561030546824,2.8004615160170943e-05,0.00031589206240217513,0.0,0.0,0.9996497968832652,2.9632025204288462e-05,0.0003205646241743428,0.0,0.0
1,0.9996210892995199,6.129499476325388e-05,0.00031761952171412605,0.0,0.0,0.9995765705903371,0.00010753772221505642,0.00031589206240217513,0.0,0.0,0.9995932261149089,8.620225465468441e-05,0.0003205646241743428,0.0,0.0
2,0.9995486458142598,0.00013373453402891754,0.00031761952171412605,0.0,0.0,0.9994679113229116,0.0002161956304917112,0.00031589206240217513,0.0,0.0,0.9994989454746246,0.00018048596539301797,0.0003205646241743428,0.0,0.0
3,0.9994706372419994,0.00021174634845616918,0.00031761952171412605,0.0,0.0,0.9993222852547964,0.00036181962980966393,0.00031589206240217513,0.0,0.0,0.9994073589642842,0.0002720758566283621,0.0003205646241743428,0.0,0.0
4,0.9993870496749878,0.0002841858891770244,0.0003287640662165359,0.0,0.0,0.999192351102829,0.00046375643238813307,0.0003438966765922184,0.0,0.0,0.9992807487646739,0.00036905338880994045,0.00035019664646824823,0.0,0.0
5,0.9992978970209757,0.0003231917954205225,6.129499476325388e-05,0.00031761952171412605,0.0,0.9990702450275422,0.0005063234454913375,0.00010753772221505642,0.00031589206240217513,0.0,0.999181079864502,0.0004121545139544954,8.620225465468441e-05,0.0003205646241743428,0.0
6,0.9992756068706512,0.0002730413461298061,0.00013373453402891754,0.00031761952171412605,0.0,0.9990231970945994,0.00044471329456428064,0.0002161956304917112,0.00031589206240217513,0.0,0.9991245130697887,0.00037444103266655776,0.00018048596539301797,0.0003205646241743428,0.0
7,0.9992588897546132,0.0002117463465159138,0.00021174634845616918,0.00031761952171412605,0.0,0.9989134192466735,0.00040886738473394266,0.00036181962980966393,0.00031589206240217513,0.0,0.9990329265594482,0.00037444103121136627,0.0002720758566283621,0.0003205646241743428,0.0
8,0.9991920232772827,0.00019502952927723526,0.0002953304331943703,0.00031761952171412605,0.0,0.9987655580043793,0.0004267903379513882,0.0004917610436677933,0.00031589206240217513,0.0,0.9989197810490926,0.00036097193030097213,0.00039868540722333515,0.0003205646241743428,0.0
9,0.9991084376970927,0.00018945725993641343,0.00037334224422617507,0.0003287640662165359,0.0,0.9986120939254761,0.0004581555093560989,0.0005858565583669891,0.0003438966765922184,0.0,0.9987743099530538,0.00040676687349332495,0.0004687247453451467,0.00035019664646824823,0.0
