t,child_susceptible,child_exposed,child_infected,child_recovered,child_dead,adult_susceptible,adult_exposed,adult_infected,adult_recovered,adult_dead,elderly_susceptible,elderly_exposed,elderly_infected,elderly_recovered,elderly_dead
0,0.9996433754762014,3.3433633507229385e-05,0.0003231917949354587,0.0,0.0,0.9996639470259349,3.6966092011425644e-05,0.00029908929427620025,0.0,0.0,0.9996767441431681,4.3101127569874125e-05,0.0002801573190178412,0.0,0.0
1,0.9995820800463359,9.472862827048326e-05,0.0003231917949354587,0.0,0.0,0.9995564103126526,0.0001445038147115459,0.00029908929427620025,0.0,0.0,0.9996147851149241,0.00010505899699637666,0.0002801573190178412,0.0,0.0
2,0.9994873523712158,0.00018945725702603037,0.0003231917949354587,0.0,0.0,0.9994197428226471,0.000281166340088627,0.00029908929427620025,0.0,0.0,0.9994773944218953,0.00024244383287926516,0.0002801573190178412,0.0,0.0
3,0.9993759115537008,0.0003009027064157029,0.0003231917949354587,0.0,0.0,0.9992584347724914,0.00044247292050082857,0.00029908929427620025,0.0,0.0,0.9993292371431987,0.0003906039521098137,0.0002801573190178412,0.0,0.0
4,0.9992867489655812,0.00035662542989787956,0.0003566254279576242,0.0,0.0,0.9991004884243011,0.0005634528652687247,0.0003360553877428174,0.0,0.0,0.9992214858531951,0.0004552556390990503,0.0003232584465877153,0.0,0.0
5,0.9992031673590342,0.000378914519387763,9.472862827048326e-05,0.0003231917949354587,0.0,0.9989593485991161,0.0005970584005505468,0.0001445038147115459,0.00029908929427620025,0.0,0.999084101120631,0.0005306826089508832,0.00010505899699637666,0.0002801573190178412,0.0
6,0.9991474429766337,0.0003399086112040095,0.00018945725702603037,0.0003231917949354587,0.0,0.9988562921682994,0.0005634528618732778,0.000281166340088627,0.00029908929427620025,0.0,0.998992512623469,0.0004848876633332111,0.00024244383287926516,0.0002801573190178412,0.0
7,0.9990471382935842,0.00032876406961198273,0.0003009027064157029,0.0003231917949354587,0.0,0.9986725787321726,0.0005858565506059677,0.00044247292050082857,0.00029908929427620025,0.0,0.9988578220208486,0.00047141856290788077,0.0003906039521098137,0.0002801573190178412,0.0
8,0.9988632559776306,0.0004234927003077852,0.0003900590629200451,0.0003231917949354587,0.0,0.9984384655952454,0.0006620291106325264,0.0006004189485490012,0.00029908929427620025,0.0,0.9986692527929942,0.0005522331785565864,0.0004983567647286691,0.0002801573190178412,0.0
9,0.9986793756484985,0.0005237936047099841,0.0004402095180315276,0.0003566254279576242,0.0,0.9981292963027955,0.000830056798683169,0.0007045961217954754,0.0003360553877428174,0.0,0.9984079519907634,0.0006761489091635061,0.0005926404793475134,0.0003232584465877153,0.0
10,0.998501060406367,0.0006463836000572579,0.0004346372443251312,0.0004179204256312611,0.0,0.997771950562795,0.0010843387067628403,0.0007001153833698481,0.00044359311044293767,0.0,0.9981170197327932,0.000875491617868344,0.0006222725045518018,0.00038521631164864327,0.0
11,0.9983116030693054,0.000735539957046664,0.00044020951657633607,0.0005126490592374467,0.0,0.9974101324876149,0.0012624480470549316,0.000747163137809063,0.0005802556348498911,0.0,0.99785302678744,0.0010047949991227748,0.0006195786840786847,0.0005226011523821702,0.0
12,0.9980998535950979,0.0007634013158773693,0.0005126490597225105,0.0006240945095972468,0.0,0.9969956656297048,0.0014427977749922624,0.0008199751406209544,0.000741562217202348,0.0,0.9975378533204396,0.0011314045429268542,0.0006599859853546757,0.0006707612691873994,0.0
13,0.9977933843930562,0.0008859913194707284,0.0006073776947838875,0.0007132508690119721,0.0,0.9965587933858235,0.001570498807510982,0.0009712000658813243,0.0008995082413700098,0.0,0.9971526324748993,0.0012553202715935186,0.0008135337484418415,0.000778514081321191,0.0
