day,counterfactual_cases,actual_cases
0,4.138757944107056,24.0
1,8.047584891319275,12.0
2,5.058481931686401,19.0
3,5.978205919265747,10.0
4,4.368688941001892,15.0
5,11.266618847846985,14.0
6,14.715583801269531,13.0
7,12.416273832321167,7.0
8,12.18634283542633,8.0
9,12.416273832321167,16.0
10,15.40537679195404,11.0
11,18.394479751586914,27.0
12,23.22303068637848,23.0
13,28.741374611854553,15.0
14,16.78496277332306,15.0
15,14.025790810585022,18.0
16,14.715583801269531,36.0
17,18.854341745376587,20.0
18,18.394479751586914,42.0
19,20.233927726745605,39.0
20,17.244824767112732,15.0
21,29.431167602539062,10.0
22,30.120960593223572,15.0
23,30.81075358390808,28.0
24,32.88013255596161,23.0
25,25.06247866153717,19.0
26,38.858338475227356,16.0
27,39.31820046901703,22.0
28,21.613513708114624,31.0
29,24.37268567085266,32.0
30,29.891029596328735,31.0
31,16.09516978263855,23.0
32,21.613513708114624,6.0
33,26.671995639801025,28.0
34,25.292409658432007,11.0
35,33.799856543540955,18.0
36,27.821650624275208,17.0
37,24.832547664642334,41.0
38,26.901926636695862,36.0
39,25.06247866153717,23.0
40,31.730477571487427,37.0
41,37.018890500068665,20.0
42,36.329097509384155,21.0
43,38.39847648143768,50.0
44,37.018890500068665,27.0
45,36.329097509384155,66.0
46,40.237924456596375,33.0
47,50.12495732307434,0.0
48,48.28550934791565,0.0
49,34.489649534225464,93.0
50,35.86923551559448,24.0
51,41.84744143486023,46.0
52,43.456958413124084,49.0
53,44.60661339759827,60.0
54,45.52633738517761,29.0
55,46.21613037586212,30.0
56,29.201236605644226,42.0
57,27.821650624275208,46.0
58,33.110063552856445,39.0
59,28.051581621170044,41.0
60,18.854341745376587,33.0
61,28.051581621170044,8.0
62,22.53323769569397,21.0
63,59.3221971988678,15.0
64,51.04468131065369,45.0
65,29.891029596328735,61.0
66,40.237924456596375,58.0
67,30.120960593223572,49.0
68,52.65419828891754,35.0
69,60.241921186447144,45.0
70,76.56702196598053,19.0
71,65.07047212123871,46.0
72,76.3370909690857,77.0
73,68.28950607776642,69.0
74,88.29350280761719,112.0
75,91.97239875793457,60.0
76,102.77915561199188,39.0
77,51.734474301338196,36.0
78,58.40247321128845,46.0
79,60.93171417713165,43.0
80,71.04867804050446,44.0
81,69.4391610622406,28.0
82,60.47185218334198,39.0
83,55.18343925476074,29.0
84,52.88412928581238,29.0
85,75.64729797840118,23.0
86,67.59971308708191,42.0
87,66.67998909950256,37.0
88,70.35888504981995,26.0
89,66.67998909950256,40.0
90,62.54123115539551,17.0
91,62.54123115539551,45.0
92,68.05957508087158,36.0
93,75.64729797840118,29.0
94,71.73847103118896,61.0
95,79.09626293182373,62.0
96,66.22012710571289,0.0
97,65.76026511192322,58.0
98,34.7195805311203,7.0
99,40.46785545349121,33.0
100,37.47875249385834,28.0
101,35.17944252490997,53.0
102,37.708683490753174,15.0
103,32.420270562171936,20.0
104,28.051581621170044,15.0
105,16.78496277332306,5.0
106,10.576825857162476,12.0
107,15.40537679195404,13.0
108,8.737377882003784,9.0
109,10.116963863372803,11.0
110,6.667998909950256,12.0
111,6.897929906845093,1.0
112,14.485652804374695,6.0
113,12.18634283542633,6.0
114,7.8176538944244385,8.0
115,10.34689486026764,25.0
116,8.047584891319275,5.0
117,7.127860903739929,0.0
118,8.507446885108948,9.0
119,8.96730887889862,3.0
120,9.197239875793457,11.0
121,8.277515888214111,7.0
122,9.65710186958313,1.0
123,5.058481931686401,5.0
124,5.748274922370911,3.0
125,7.127860903739929,7.0
126,4.828550934791565,4.0
127,6.2081369161605835,5.0
128,5.748274922370911,5.0
129,8.047584891319275,5.0
130,3.4489649534225464,4.0
131,5.748274922370911,0.0
132,2.2993099689483643,0.0
133,4.368688941001892,2.0
134,3.9088269472122192,3.0
135,4.5986199378967285,6.0
136,5.058481931686401,6.0
137,5.518343925476074,1.0
138,2.9891029596328735,1.0
139,2.5292409658432007,3.0
140,6.2081369161605835,43.0
141,4.828550934791565,2.0
142,2.069378972053528,3.0
143,2.5292409658432007,2.0
144,3.9088269472122192,0.0
145,4.368688941001892,2.0
146,4.5986199378967285,2.0
147,3.4489649534225464,5.0
148,2.9891029596328735,0.0
149,2.5292409658432007,10.0
150,1.609516978263855,9.0
151,2.5292409658432007,5.0
152,3.21903395652771,1.0
153,1.609516978263855,2.0
154,0.45986199378967285,3.0
155,2.5292409658432007,3.0
156,1.1496549844741821,2.0
157,0.45986199378967285,3.0
158,1.609516978263855,1.0
159,0.45986199378967285,1.0
160,0.0,3.0
161,0.6897929906845093,1.0
162,0.45986199378967285,0.0
163,0.6897929906845093,0.0
164,0.22993099689483643,0.0
165,0.0,1.0
166,0.22993099689483643,3.0
167,0.0,2.0
