t,child_susceptible,child_exposed,child_infected,child_recovered,child_dead,adult_susceptible,adult_exposed,adult_infected,adult_recovered,adult_dead,elderly_susceptible,elderly_exposed,elderly_infected,elderly_recovered,elderly_dead
0,0.9996322254339854,2.2289089004819593e-05,0.0003454808858805336,0.0,0.0,0.9996695439020793,3.248535358579829e-05,0.00029796910821460186,0.0,0.0,0.9996821224689484,3.23258456774056e-05,0.00028554496141926694,0.0,0.0
1,0.9995653609434764,8.915635650434221e-05,0.0003454808858805336,0.0,0.0,0.9995429694652558,0.00015906621507989863,0.00029796910821460186,0.0,0.0,0.9995851516723633,0.000129303380769367,0.00028554496141926694,0.0,0.0
2,0.9994706332683563,0.00018388498671508083,0.0003454808858805336,0.0,0.0,0.9994096616903941,0.0002923681837273762,0.00029796910821460186,0.0,0.0,0.9994477649529775,0.00026668821762238317,0.00028554496141926694,0.0,0.0
3,0.9993981937567393,0.0002563245269508722,0.0003454808858805336,0.0,0.0,0.9992293139298757,0.0004727179082692601,0.00029796910821460186,0.0,0.0,0.9993373215198517,0.0003771348492591642,0.00028554496141926694,0.0,0.0
4,0.9993313213189443,0.0003009027054455752,0.0003677699748853532,0.0,0.0,0.9990881641705831,0.0005813758146056595,0.0003304544637406555,0.0,0.0,0.9992430369059245,0.00043909271674541137,0.00031787080224603413,0.0,0.0
5,0.9992198824882508,0.00034548088636559746,8.915635650434221e-05,0.0003454808858805336,0.0,0.9989302198092143,0.0006127409840701147,0.00015906621507989863,0.00029796910821460186,0.0,0.9991379717985789,0.00044717418010501814,0.000129303380769367,0.00028554496141926694,0.0
6,0.9991585850715637,0.0003120472509181127,0.00018388498671508083,0.0003454808858805336,0.0,0.9988058805465698,0.0006037795110993709,0.0002923681837273762,0.00029796910821460186,0.0,0.9990463813145956,0.00040137923642760145,0.00026668821762238317,0.00028554496141926694,0.0
7,0.9990694284439087,0.00032876406718666357,0.0002563245269508722,0.0003454808858805336,0.0,0.9986412107944489,0.0005880969275798028,0.0004727179082692601,0.00029796910821460186,0.0,0.9988820652167002,0.00045525564637500794,0.0003771348492591642,0.00028554496141926694,0.0
8,0.9989579856395722,0.0003733422495618773,0.00032319179639065017,0.0003454808858805336,0.0,0.9983678897221883,0.0007202787091955543,0.0006138611691615855,0.00029796910821460186,0.0,0.9986584822336833,0.0005845590222937365,0.0004714185595124339,0.00028554496141926694,0.0
9,0.9987685322761536,0.0004513540625339374,0.0004123481528949924,0.0003677699748853532,0.0,0.998065443833669,0.0008647825302129301,0.000739321846049279,0.0003304544637406555,0.0,0.9983648478984832,0.0007731264505612974,0.0005441517161671073,0.00031787080224603413,0.0
10,0.998562349875768,0.0005962331449457755,0.0004067758796736598,0.00043463724189981196,0.0,0.9976957817872365,0.001110102948344623,0.000737081477806593,0.0004570353228094367,0.0,0.9980954647064209,0.0009509185794740916,0.0005387640757059368,0.00041484833539774023,0.0
11,0.998389619588852,0.0006798172379300619,0.0004012036074224549,0.0005293658784163805,0.0,0.9973507603009542,0.0012904526743416985,0.0007684466463009205,0.0005903372938822334,0.0,0.9977829853693644,0.0010990787113163,0.0005657022736462144,0.0005522331780715224,0.0
12,0.9981945832570394,0.0007634013246085185,0.0004402095185165914,0.0006018054249580018,0.0,0.9969878216584523,0.0013800674380036071,0.0008614219608716666,0.0007706870101780321,0.0,0.9974974393844604,0.0011610365734668448,0.0006788427315768785,0.0006626798101933673,0.0
13,0.9979828357696533,0.000785690410702955,0.0005627995075580353,0.0006686726890620775,0.0,0.9965688745180766,0.0014965666419205566,0.001022728548559826,0.0009118302764060597,0.0,0.9971203029155731,0.0012445450076484122,0.0008781854402817164,0.0007569635252972754,0.0
14,0.9974534769852956,0.0011088822119442435,0.0006575281445596677,0.0007801181340861755,0.0,0.995877722899119,0.0018180596292950214,0.0012344434508122504,0.0010697762976633386,0.0,0.9965357442696889,0.0015597219894213292,0.001042508472649691,0.0008620225111371837,0.0
